environment,algorithm,seed,timesteps,mean_reward,std_reward,wall_clock_seconds,status
HalfCheetah-v5,PPO,42,5000,-0.8161810857988409,0.2337217955553975,8.72,OK
HalfCheetah-v5,SAC,42,5000,-71.94297616835622,1.458054309665346,36.43,OK
HalfCheetah-v5,TD3,42,5000,-296.4927924921697,27.243585169574818,17.98,OK
HalfCheetah-v5,DDPG,42,5000,-470.06233671207156,85.58505694837102,18.49,OK
HalfCheetah-v5,TQC,42,5000,-119.4000726485586,18.988803610107922,36.35,OK
Hopper-v5,PPO,42,5000,56.6551650762558,0.1645424799780614,9.34,OK
Hopper-v5,SAC,42,5000,184.66401706139246,0.5371833695125035,35.39,OK
Hopper-v5,TD3,42,5000,90.23510255416234,0.4598832213281086,17.87,OK
Hopper-v5,DDPG,42,5000,2.5958052252729735,0.09241836616937135,18.88,OK
Hopper-v5,TQC,42,5000,251.2426390250524,0.2781317175101103,37.95,OK
Walker2d-v5,PPO,42,5000,254.26364076137543,0.8537558477840966,9.18,OK
Walker2d-v5,SAC,42,5000,328.2436114350955,4.560894535605747,34.36,OK
Walker2d-v5,TD3,42,5000,329.6963618993759,11.658666792054921,17.96,OK
Walker2d-v5,DDPG,42,5000,-11.48514954080747,0.4736540919313972,18.89,OK
Walker2d-v5,TQC,42,5000,273.1922313968341,0.7273092094585472,38.83,OK
