algorithm,avg_rank_iqm,avg_rank_mean
TQC,1.3333333333333333,1.3333333333333333
TD3,1.6666666666666667,1.6666666666666667
SAC,3.0,3.0
DDPG,4.0,4.333333333333333
PPO,5.0,4.666666666666667
