env_id,algorithm,mean_wall_clock_s,n_seeds,mean_wall_clock_h,mean_return,return_per_hour
HalfCheetah-v5,DDPG,398.534,10,0.1107038888888889,8217.86328125,74232.83286369544
HalfCheetah-v5,PPO,1491.4450000000002,10,0.4142902777777778,1493.5966389973958,3605.1935541643334
HalfCheetah-v5,SAC,7535.100454545454,10,2.0930834595959595,9665.821594238281,4617.981929924636
HalfCheetah-v5,TD3,390.536,10,0.10848222222222222,10435.35986328125,96194.19338502084
HalfCheetah-v5,TQC,1890.5433333333333,10,0.5251509259259259,11287.702799479166,21494.207174017873
Hopper-v5,DDPG,323.838,10,0.08995500000000001,2411.8309122721353,26811.527010973656
Hopper-v5,PPO,1226.516,10,0.3406988888888889,1975.05810546875,5797.078211525573
Hopper-v5,SAC,7411.564090909091,10,2.058767803030303,2609.869918823242,1267.6854159958064
Hopper-v5,TD3,305.424,10,0.08484,3626.0941569010415,42740.383744708175
Hopper-v5,TQC,485.113,10,0.13475361111111112,2897.9893391927085,21505.83806472667
Walker2d-v5,PPO,1252.1770000000001,10,0.3478269444444445,1729.6529642740886,4972.740013102555
Walker2d-v5,SAC,8862.196666666667,5,2.461721296296296,3997.7167205810547,1623.951796084996
Walker2d-v5,TQC,16936.516,3,4.704587777777777,4909.083740234375,1043.4673497692058
