,PPO,SAC,TD3,DDPG,TQC
PPO,0.5,0.0001,0.0,0.495,0.0
SAC,0.9999,0.5,0.0993,1.0,0.0027
TD3,1.0,0.9007000000000001,0.5,1.0,0.0701
DDPG,0.505,0.0,0.0,0.5,0.0
TQC,1.0,0.9973,0.9299,1.0,0.5
