,PPO,SAC,TD3,DDPG,TQC
PPO,0.5,0.0575,0.0,0.1158,0.0032
SAC,0.9425,0.5,0.0,0.6861,0.2375
TD3,1.0,1.0,0.5,1.0,1.0
DDPG,0.8842,0.31389999999999996,0.0,0.5,0.0802
TQC,0.9968,0.7625,0.0,0.9198,0.5
