run_id,track,env_id,algorithm,setting_name,seed,total_timesteps,eval_freq,n_eval_episodes_train,n_eval_episodes_final,policy,use_vecnormalize,normalize_obs,normalize_reward,hyperparams_json,status,start_time,end_time,wall_clock_seconds,device,python_version,gymnasium_version,mujoco_version,stable_baselines3_version,sb3_contrib_version,torch_version,cuda_available,gpu_name,git_commit,model_path,tensorboard_path,train_eval_csv_path,final_eval_csv_path,notes
Walker2d-v5__SAC__legacy_1m__sb3default__seed2__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,2,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed02__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,Walker2d-v5,SAC,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed1__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,1,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed01__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__SAC__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Walker2d-v5,SAC,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed0__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,0,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed00__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed9__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,9,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1191.31,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed09__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed8__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,8,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1178.86,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed08__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__PPO__legacy_1m__sb3default__seed7__steps1000000,legacy_1m,Walker2d-v5,PPO,sb3default,7,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1462.39,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__PPO__seed07__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__TD3__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,HalfCheetah-v5,TD3,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,380.86,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__TD3__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Walker2d-v5__TQC__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Walker2d-v5,TQC,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TQC__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TQC__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Walker2d-v5,TQC,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TQC__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TQC__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Walker2d-v5,TQC,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TQC__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TQC__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,Walker2d-v5,TQC,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TQC__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TQC__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Walker2d-v5,TQC,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TQC__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TD3__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Walker2d-v5,TD3,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TD3__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TD3__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Walker2d-v5,TD3,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TD3__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TD3__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,Walker2d-v5,TD3,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TD3__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TD3__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,Walker2d-v5,TD3,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TD3__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__TD3__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Walker2d-v5,TD3,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__TD3__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__SAC__legacy_1m__sb3default__seed7__steps1000000,legacy_1m,Walker2d-v5,SAC,sb3default,7,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__SAC__seed07__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed0__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,0,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1604.36,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed00__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed9__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,9,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,394.13,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed09__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed8__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,8,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,404.98,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed08__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed7__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,7,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,400.66,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed07__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__TQC__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,HalfCheetah-v5,TQC,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__TQC__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed1__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,1,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed01__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,HalfCheetah-v5,PPO,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed1__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,1,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1496.58,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed01__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed0__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,0,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed00__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,HalfCheetah-v5,PPO,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,399.26,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,HalfCheetah-v5,DDPG,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed4__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,4,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,400.78,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed04__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,HalfCheetah-v5,DDPG,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed3__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,3,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,402.34,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed03__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,HalfCheetah-v5,DDPG,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed2__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,2,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,387.75,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed02__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__diagnostic_250k__sb3default__seed1__steps250000,diagnostic_250k,HalfCheetah-v5,DDPG,sb3default,1,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed01__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__DDPG__legacy_1m__sb3default__seed1__steps1000000,legacy_1m,HalfCheetah-v5,DDPG,sb3default,1,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,399.12,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed01__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__DDPG__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,HalfCheetah-v5,DDPG,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__DDPG__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__TD3__legacy_1m__sb3default__seed7__steps1000000,legacy_1m,HalfCheetah-v5,TD3,sb3default,7,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,397.63,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__TD3__seed07__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed5__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,5,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed05__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1587.45,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed4__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,4,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed04__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,HalfCheetah-v5,PPO,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed4__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,4,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1463.99,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed04__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed3__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,3,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed03__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,HalfCheetah-v5,PPO,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed3__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,3,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1459.39,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed03__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_500k__sb3default__seed2__steps500000,diagnostic_500k,HalfCheetah-v5,PPO,sb3default,2,500000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed02__steps500000.zip,,,,Pre-existing diagnostic_500k run cataloged by NB08
HalfCheetah-v5__PPO__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,HalfCheetah-v5,PPO,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
HalfCheetah-v5__PPO__legacy_1m__sb3default__seed2__steps1000000,legacy_1m,HalfCheetah-v5,PPO,sb3default,2,1000000,25000.0,10.0,10.0,MlpPolicy,True,True,True,{},complete,,,1469.07,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__PPO__seed02__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
HalfCheetah-v5__SAC__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,HalfCheetah-v5,SAC,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__SAC__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
