run_id,track,env_id,algorithm,setting_name,seed,total_timesteps,eval_freq,n_eval_episodes_train,n_eval_episodes_final,policy,use_vecnormalize,normalize_obs,normalize_reward,hyperparams_json,status,start_time,end_time,wall_clock_seconds,device,python_version,gymnasium_version,mujoco_version,stable_baselines3_version,sb3_contrib_version,torch_version,cuda_available,gpu_name,git_commit,model_path,tensorboard_path,train_eval_csv_path,final_eval_csv_path,notes
Hopper-v5__SAC__tuned_screen__ls25k__seed0__steps300000,tuned_screen,Hopper-v5,SAC,ls25k,0,300000,25000.0,10.0,20.0,MlpPolicy,False,False,False,"{""policy"": ""MlpPolicy"", ""learning_rate"": 0.0003, ""buffer_size"": 1000000, ""learning_starts"": 25000, ""batch_size"": 256, ""tau"": 0.005, ""gamma"": 0.99, ""train_freq"": 1, ""gradient_steps"": 1, ""ent_coef"": ""auto"", ""target_entropy"": ""auto"", ""policy_kwargs"": {""net_arch"": [256, 256], ""use_sde"": false}}",complete,2026-06-28T21:35:29.487777,2026-06-28T22:51:38.634721,4569.15,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,unknown,D:\MuJoCo_RL_Project\models\tuned_screen\Hopper-v5__SAC__tuned_screen__ls25k__seed0__steps300000.zip,D:\MuJoCo_RL_Project\tensorboard_logs\tuned_screen,D:\MuJoCo_RL_Project\results\raw\Hopper-v5__SAC__tuned_screen__ls25k__seed0__steps300000__train_eval.csv,,
HalfCheetah-v5__SAC__diagnostic_250k__sb3default__seed2__steps250000,diagnostic_250k,HalfCheetah-v5,SAC,sb3default,2,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\HalfCheetah-v5\HalfCheetah-v5__SAC__seed02__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Walker2d-v5__DDPG__diagnostic_250k__sb3default__seed0__steps250000,diagnostic_250k,Walker2d-v5,DDPG,sb3default,0,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Walker2d-v5\Walker2d-v5__DDPG__seed00__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed9__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,9,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,479.87,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed09__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed8__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,8,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,494.83,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed08__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed7__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,7,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,489.27,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed07__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed6__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,6,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,479.15,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed06__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed5__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,5,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,481.33,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed05__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__diagnostic_250k__sb3default__seed4__steps250000,diagnostic_250k,Hopper-v5,TQC,sb3default,4,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed04__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed4__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,4,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,482.23,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed04__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
Hopper-v5__TQC__diagnostic_250k__sb3default__seed3__steps250000,diagnostic_250k,Hopper-v5,TQC,sb3default,3,250000,12500.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,0.0,cpu,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed03__steps250000.zip,,,,Pre-existing diagnostic_250k run cataloged by NB08
Hopper-v5__TQC__legacy_1m__sb3default__seed3__steps1000000,legacy_1m,Hopper-v5,TQC,sb3default,3,1000000,25000.0,10.0,10.0,MlpPolicy,False,False,False,{},complete,,,502.41,cuda,3.10.20,1.3.0,3.10.0,2.9.0,2.9.0,2.12.1+cu126,True,NVIDIA RTX 5000 Ada Generation,,D:\MuJoCo_RL_Project\models\Hopper-v5\Hopper-v5__TQC__seed03__steps1000000.zip,,,,Pre-existing legacy_1m run cataloged by NB08
