algorithm,iqm_HalfCheetah,iqm_Hopper,iqm_Walker2d,iqm_mean,avg_rank,avg_cv,avg_noise_drop_pct
TD3,10391.185546875,3626.0941569010415,4544.0,6187.093234592013,2.0,0.068173533051735,20.119495849659245
TQC,12175.689127604166,2599.7450358072915,5297.082682291667,6690.838948567708,2.0,0.07531863630369716,35.31925575608996
SAC,11021.715494791666,3385.413330078125,4473.018880208333,6293.382568359375,2.3333333333333335,0.29307475536535704,29.371112393098468
DDPG,9011.619791666666,2610.94091796875,1928.1692301432288,4516.909979926215,3.6666666666666665,0.23371463223112496,4.85449755226772
PPO,1367.0462239583333,2279.5673014322915,1339.8123575846355,1662.1419609917536,5.0,0.2944723209920142,36.11163965890624
