environment,algorithm,seed,timesteps,mean_reward,std_reward,wall_clock_seconds,status
HalfCheetah-v5,PPO,42,5000,-1.3284902790346678,0.5034069074749645,9.02,OK
HalfCheetah-v5,SAC,42,5000,-68.79026986533184,3.37747596975132,37.45,OK
HalfCheetah-v5,TD3,42,5000,-295.8256565273235,16.58291409302973,18.96,OK
HalfCheetah-v5,DDPG,42,5000,-430.59706551482486,55.18213652079149,19.92,OK
HalfCheetah-v5,TQC,42,5000,-129.36817675991247,24.99866416822889,39.73,OK
Hopper-v5,PPO,42,5000,54.69289926687876,0.17367030630671243,10.07,OK
Hopper-v5,SAC,42,5000,184.68365468581518,0.2961521444680456,37.83,OK
Hopper-v5,TD3,42,5000,89.11662109692891,1.1953703230581219,19.0,OK
Hopper-v5,DDPG,42,5000,2.668759355942408,0.07986599522660658,19.39,OK
Hopper-v5,TQC,42,5000,254.40741062164307,0.8649543414260819,37.02,OK
Walker2d-v5,PPO,42,5000,250.49298890431723,1.9916156048961422,9.55,OK
Walker2d-v5,SAC,42,5000,323.832467297713,3.4990054561787973,37.81,OK
Walker2d-v5,TD3,42,5000,321.85471999645233,9.910693087849117,19.06,OK
Walker2d-v5,DDPG,42,5000,-9.630468462302815,0.3125232922916523,19.93,OK
Walker2d-v5,TQC,42,5000,267.2347503900528,3.685908188882079,39.1,OK
