environment,algorithm,n_seeds,mean_final_return,std_final_return,median_final_return,iqm_final_return,ci95_low,ci95_high
HalfCheetah-v5,PPO,13,795.697341323142,626.8878395663994,1207.5350905288626,888.3966922766311,463.9254213289344,1110.6545002026576
HalfCheetah-v5,SAC,5,7.525031147381581,65.04148220504683,-22.16172993712575,3.360031023124376,-47.69596487690541,65.54943314290803
HalfCheetah-v5,TD3,5,580.4664464247696,795.1203051161949,24.277660889996437,468.1747983236456,-83.35653763536936,1262.15833489166
HalfCheetah-v5,DDPG,5,949.817620469161,477.3816918969947,864.6089353360464,975.1528499987407,534.2416389897238,1324.8117804319902
HalfCheetah-v5,TQC,5,467.17303858633494,282.72711124379725,596.1987904657213,537.6798674957818,204.1654530493852,679.2357582519875
Hopper-v5,PPO,6,250.48851993504033,56.25015128810703,229.43075150813144,229.12451832334648,219.95417011063782,301.3688990574674
Hopper-v5,SAC,5,393.4595693359671,173.4680450455874,312.0241426187092,340.5946548345034,268.2357476334297,560.4962038026733
Hopper-v5,TD3,5,136.07059487444604,106.38628579711477,163.7201500228759,124.70171902203849,44.728953559971835,223.17373964099284
Hopper-v5,DDPG,5,213.21349503897778,117.3055139242681,168.82222944832816,164.9914527649062,137.00854245500045,330.5103472629318
Hopper-v5,TQC,5,322.1807284336089,31.690342667811898,336.63608010198146,325.5554084473676,294.5454020021248,349.3963839804875
Walker2d-v5,PPO,6,279.28349634706336,11.828801653732036,275.42745996892774,276.35558960868417,271.0704281441365,289.4779129758599
Walker2d-v5,SAC,5,605.4164275419461,202.01391316503674,543.6862471337141,583.5594421942484,439.34328255603157,773.0474625481135
Walker2d-v5,TD3,5,233.70568772674764,100.30177151674299,297.45697963059115,247.91525851652747,138.57379164308904,315.7225407439903
Walker2d-v5,DDPG,5,221.78222431741742,146.4596808913041,129.51262749851224,171.7724884300495,117.13975886597564,367.6824580121342
Walker2d-v5,TQC,5,486.86300285085724,64.07783832000653,456.24613803064005,466.7607056600793,440.51935040453435,549.0274208267502
