,PPO,SAC,TD3,DDPG,TQC
PPO,0.5,0.0194,0.9908,0.7575,0.0104
SAC,0.9806,0.5,0.9999,0.9803,0.8004
TD3,0.009199999999999986,9.999999999998899e-05,0.5,0.1351,0.0
DDPG,0.24250000000000005,0.01970000000000005,0.8649,0.5,0.0368
TQC,0.9896,0.1996,1.0,0.9632000000000001,0.5
