environment,algorithm,std,iqr,cv,failure_rate,collapsed_seeds,worst_seed_return,best_seed_return,range
HalfCheetah-v5,PPO,626.8878395663994,1298.0999883340237,0.787847095877042,0.0,5,-11.185705817708424,1398.194806214888,1409.3805120325965
HalfCheetah-v5,SAC,65.04148220504683,106.6464809836089,8.64335055161137,0.0,3,-70.95671823514564,98.50178090268042,169.45849913782607
HalfCheetah-v5,TD3,795.1203051161949,1529.8927972020342,1.3697954636307255,0.0,3,-145.70714297287478,1643.5149801257862,1789.222123098661
HalfCheetah-v5,DDPG,477.3816918969947,400.2536534431928,0.5026035331458335,0.0,1,192.01587518696283,1631.6136771626193,1439.5978019756565
HalfCheetah-v5,TQC,282.72711124379725,254.13855335143546,0.6051871317173553,0.0,1,-41.6747272662489,764.5003177105784,806.1750449768273
Hopper-v5,PPO,56.25015128810703,15.282480789566904,0.2245617934923679,1.0,0,211.69872216560825,374.7343241512476,163.03560198563937
Hopper-v5,SAC,173.4680450455874,139.0915295887425,0.44087895824706136,1.0,0,229.24315162619047,716.2707305501348,487.0275789239443
Hopper-v5,TD3,106.38628579711477,134.99196067269747,0.7818462606668266,1.0,2,4.419920252206547,301.82789705390826,297.4079768017017
Hopper-v5,DDPG,117.3055139242681,67.85147484121131,0.550178654954845,1.0,0,128.95991441074744,442.1332024894229,313.17328807867545
Hopper-v5,TQC,31.690342667811898,56.97210408878618,0.09836200576273338,1.0,0,277.56562159016755,356.67179523577425,79.1061736456067
Walker2d-v5,PPO,11.828801653732036,11.39274619705185,0.04235410186432548,1.0,0,267.4550515395073,302.8235681081361,35.36851656862882
Walker2d-v5,SAC,202.01391316503674,254.85965707446553,0.333677620843388,0.6799999999999999,0,350.448871635939,925.9549394910464,575.5060678551074
Walker2d-v5,TD3,100.30177151674299,149.68837686636016,0.4291798479022282,0.96,1,82.19338743215135,342.58927565200446,260.3958882198531
Walker2d-v5,DDPG,146.4596808913041,129.77953737246673,0.6603761024377024,1.0,1,100.08043320609823,493.5132230908404,393.4327898847422
Walker2d-v5,TQC,64.07783832000653,53.32988424151682,0.13161369408535573,1.0,0,427.8222596419754,606.2106376320728,178.3883779900974
