algorithm,avg_rank_iqm,avg_rank_mean
SAC,2.3333333333333335,2.3333333333333335
TQC,2.3333333333333335,2.6666666666666665
PPO,2.6666666666666665,2.6666666666666665
DDPG,3.3333333333333335,3.3333333333333335
TD3,4.333333333333333,4.0
