,PPO,SAC,TD3,DDPG,TQC
PPO,0.5,1.0,0.7044,0.2909,0.937
SAC,0.0,0.5,0.0744,0.0,0.0003
TD3,0.2956,0.9256,0.5,0.1811,0.6081
DDPG,0.7091000000000001,1.0,0.8189,0.5,0.9767
TQC,0.06299999999999994,0.9997,0.3919,0.023299999999999987,0.5
