,PPO,SAC,TD3,DDPG,TQC
PPO,0.5,0.0,0.8503,0.8137,0.0
SAC,1.0,0.5,1.0,0.9999,0.8958
TD3,0.14970000000000006,0.0,0.5,0.5796,0.0
DDPG,0.18630000000000002,9.999999999998899e-05,0.4204,0.5,0.0004
TQC,1.0,0.10419999999999996,1.0,0.9996,0.5
