environment,algorithm,return_clean,return_noisy_020,drop_pct
HalfCheetah-v5,PPO,765.6059963612104,644.9150395156804,15.764108094447574
HalfCheetah-v5,SAC,15.73930009515095,-36.41215245072822,331.34543593086283
HalfCheetah-v5,TD3,564.9781016554032,394.77862121458077,30.124969434942738
HalfCheetah-v5,DDPG,853.2096524668394,886.6438798781236,-3.9186414867935095
HalfCheetah-v5,TQC,439.67025520702214,332.13896362791115,24.457258662183847
Hopper-v5,PPO,250.7132078547584,252.10532534910422,-0.5552629261944475
Hopper-v5,SAC,393.94799604894456,392.8700006126078,0.27363902015520913
Hopper-v5,TD3,131.44312271445608,136.7974694744851,-4.073508487205771
Hopper-v5,DDPG,212.35968287504363,213.66561399611274,-0.6149618907540211
Hopper-v5,TQC,322.94085909972506,317.82514064511304,1.5841038104360348
Walker2d-v5,PPO,280.6668031948931,286.20073410039817,-1.971708389561552
Walker2d-v5,SAC,588.2899782866192,556.0960858763456,5.472452973530221
Walker2d-v5,TD3,235.18557941577174,235.46566424103915,-0.11909098591472433
Walker2d-v5,DDPG,205.56802479160157,221.01517200553633,-7.5143725435135895
Walker2d-v5,TQC,490.6175352980261,491.4865068721442,-0.17711792008668237
